질문,답변
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['가이아스', '주', '설립', '제조', '업종', '소프트웨어 개발', '공급', '유', '무선 통신', '장비', '제조업', '영위', '벤처', '기업', '인재', '육성', '중소기업', '선정', 'KEPCO', '에너지', '혁신', '경기', '의왕시', '미로', '포일', '동', '인덕원', 'IT', '밸리', '위치', 'IoT', 'Platform', '보안', '인증', '솔루션', '사업', '전력량', 'AMI', 'LTE', 'PLC', '모뎀', '개발', '생산', '재직', '인원', '부설', '연구소', '운영', '수석', '급', '연구원', '다수', '포진', '기술', '결산', '기준', '매출액', '한국전력공사', '저압', '입', '망', '입찰', '수주', '납품', '예정', '주요', '업무', '단말', '장치', 'or', 'Serial', '통신', '프로토콜 개발', 'SNMP', 'LWM', 'M', 'CoAP', 'API 개발', '학력', '대졸', '이상', '경력', 'C', 'JAVA', '프로그래밍', '언어', '네트워크', '경험', 'UI', 'Programming', 'QT', 'MFC', 'JavaFX', '프로그램', '배포']","{'언어': ['JAVA'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['푸시', 'CTO', 'Chief', 'Technology', 'Officer', '일', '프로덕트', '본부', '전체', '조직', '리딩', '담당', '개발', '인재', '영입', '관리', '문화', '구축', '아키텍처', '전략', '수립', '총괄', '고가용성', '확장', '가능', '시스템', '설계', '운영', '규모', '실시간', '트래픽', '처리', '진행', 'Node.js', 'Typescript', 'React', '기반', '성능', '최적', '자동', '업무', '관련', '경력', '최소', '이상', '자료', '구조', '네트워크', '지식', '경험', '보유', 'Mission', 'Critical', '서비스', '환경', '책임감', '지속', '노력', '리더십', '실패', '시도', '효율', '분석']","{'언어': ['Typescript'], '프레임워크': ['React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['원격', '진료', '서비스', '의사', '어플리케이션', '개발', 'React', 'Typescript', '시너지', '에이아이', '주식회사', '기업', '부설', '연구소', '우수', '병역', '지정', '업체', '전문연구요원', '지원', '가능', '웹', '프론트', '엔드', '실무', '경험', '이상', 'Javascript', '기본', '지식', '보유', '활용', '프로젝트', 'Redux', 'Mobx', '상태', '관리', '패턴', '사용']","{'언어': ['Typescript', 'Javascript'], '프레임워크': ['React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['펫', '박스', '반려동물', '유통', '시장', '혁신', '도전', '스타트업', '인구', '평균', '수명', '소요', '반려견', '반려묘', '폭발', '성장', '공급자', '중심', '기형', '구조', '전통', '오프라인', '효율', '데이터', '활용', '파편', '사료', '기술', '이용', '산업', '디지털', '응원', '매쉬업엔젤스', '보증', '기금', '한국', '투자', '파트너스', '비전', '지지', '주요', '업무', '커머스', '백', '엔드', '기본', '규제', '라이센스', '기반', '특성', '인', '독창', '소싱', '발주', '주문', '결제', '시스템', '반영', '서비스', '자체', '대쉬', '보드', '브레인', '개발', '서버', '인프라', '담당', '어드민', '대쉬보드', '관리자', '재고', '모니터링', '사이트', 'Back', 'Office', '운영', '지속', '성능', '추적', '개선', '경험', '비즈니스', '모델', '품종', '상품', '스탠다드', '알러지', '식습관', '큐레이션', '제공', '대한민국', '용품', '권역', '량', '확보', '대리점', '소매점', '예상', '판매', '지표', '영업', '필요', '예비', '사장', '해당', '상권', '대금', '매출액', '트렌드', '수입', '분기', '계절', '수입량', '분석', '수요', '예약', '기능', '스택', '환경', '다음', '초기', '자유', 'Python', 'Selenium', 'PHP', 'Codeigniter', 'Mysql', 'AWS', '사랑', '최', '도입', '거부감', '맹목', '오버', '엔지니어링', '지양', '규모', '적정', '파이썬', '백엔드 개발', '경력', '이상', '풀필먼트', '해외', '구매', '대행', '이해', '문제', '해결', '능력', '커뮤니케이션']","{'언어': ['Python'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['푸시', '백엔드 개발', '자', 'Backend', 'Eegineer', '일', 'Legary', 'System', '리뉴', '얼', '업무', '백', '엔드', '아키텍처', '설계', '실시간', '주가', '데이터', '연동', 'MTS', '개발', '모델링', '기능', '이상', '경력자']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['라이다', '신호 처리', '알고리즘 개발', 'FPGA', '제어', '연동', '프로그램', '임베디드 소프트웨어', 'IP', '개발', '학사', '이상', '학위', '소지자', '석박사', '우대', '해외', '여행', '결격', '사유', '남성', '병역', '필', '면제']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['아날로그', '회로 설계', '평가', '툴', '사용', 'OrCAD', 'PADS', '학사', '이상', '학위', '소지자', '석박사', '우대', '해외', '여행', '결격', '사유', '남성', '병역', '필', '면제']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['RTL', 'Simulation', 'Verification', 'FPGA', '프로', '토', '타입', '개발', '검증', '라이다', '물리', '계층', '신호 처리', 'IP', '설계', '검', 'Verilog', 'HDL', '기반', 'RTL 설계', 'Model', 'Testbench']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['수퍼빈', '네프론', '임베디드', '리눅스', 'S', 'W', '개발', 'C', '설계', '수행', '소프트웨어 개발', '엔진', '링', '경력', '이상']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['예약', '관리', '시스템', '개발', '차세대', '여행', '플랫폼', '기술', '서비스', '연동', '항공권', '검색', '엔진', 'Java', 'Spring Framework', '경험', 'Web', '논리', '사고', '문제', '해결', '능력']","{'언어': ['Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['라이다', '컨셉', '설계', '시스템', '사양', '평가', '학사', '이상', '학위', '소지자', '석박사', '우대', '해외', '여행', '결격', '사유', '남성', '병역', '필', '면제']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['ONVIF', '카메라', '제어', 'AWS', 'IoT', 'Core', '서비스', '연동', '안드로이드', 'Application', 'Service', '개발', '학사', '이상', '컴퓨터', 'SW', '분야', '전공', '경력', '이하', '업무', '경험', 'MQTT', 'JSON', 'DB', '활용', '가능', 'Client', 'Server', 'Connectivity', '기술', '스택', 'Java', 'Kotlin']","{'언어': ['Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['자사', '주최', '전시', '박람회', '통합', 'CRM', '구축', '프로젝트', '분석', '설계', '리딩', '개발', '서비스', '구현', '전략', '수립', '기술', '로드맵', '제시', '조직', '인력', '관리', '웹', '전반', 'DB', '능', '통자', '가능', '분', '경력', '이상', '팀장', '급']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['엔트', 'aaant', 'BT', 'NT', '연구', '데이터 통합', '기록', '관리', '솔루션', 'LabNote', '작성', '실험', '데이터', '연구원', '분석', '활용', 'ML', 'DL', '제공', '표현', '다양', '텍스트', '의미', '정보', '추출', '정형', '기술', '개발', '바이오', '나노', '분야', '가치', '전문', '용어', '특화', '자연어 처리', '기법', '자연어', '그래프', '변환', '모델링', '방법', '모델', 'BERT', 'GPT', 'Graph', 'neural', 'network', 'GAT', 'GCN', '기본', '이해', '학습', '경험', 'zero', 'shot', 'one', 'few', 'learning', '분', 'Torch', 'Tensorflow', '프레임', '워크', '이용', 'Python', '라이브러리', 'sklearn', 'numpy', '코드', '문제', '해결', '기반', '가설', '수립', '검증', '관련']","{'언어': ['Python'], '프레임워크': [], '라이브러리': ['Tensorflow', 'numpy'], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['협력사', '발생', '대량', '주문', '데이터', 'API', '규칙', '파싱', '후', 'DB', '적재', '배달', '서비스', '포스', '공공', '각종', '실시간', '스크랩', '가공', '도구', '성능', '개발', '개선', '용량', '적합', '서버', '아키텍처', '구현', '연동', '시스템', '형식', '전환', '모듈', '작성', '이용', '작업', '구간', '탐색', '해당', '부분', '수집', '방어', '코드', 'Python', 'Java', 'Node.js', '사용', '이상', '경력', '실력', '고가', '확장', '가능', '아키텍쳐', '설계', '능력', 'AWS', 'GCP', '클라우드', '경험', '업무', '필요', '마음가짐', 'PM', 'Data', 'Engineer', 'Analyst', '적극', '협업', '본인', '의사', '표현', '상대방', '배려', '언행', '책임', '자세', '기술', 'Pair', 'Programming', 'Code', 'Review', '긍정', '주도']","{'언어': ['Python', 'Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['딥 러닝', '기반', '선별', '알고리즘', '연구', '개발', '총괄', '지원', '팀', '자원', '관리', '성과', '정부', '과제', '제반', '문서', '작성', '유관', '경력', '이상', '상용', '가능', '서비스', '제품', '탑재', '알고리즘 개발', '경험', '외주', '개발업체', '데이터', '가공', '공급업체', 'C', 'Python', '언어', '포트폴리오', '제출']","{'언어': ['Python'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['시나몬', '신규', '프로젝트', '클라이언트 개발', 'Unreal Engine', 'PC', '관련', '분야', '경력', '이상', '언리얼', '사용', '개발', '경험', 'C', '프로그래밍', '가능', '분', '긍정', '사고', '바탕', '원활', '커뮤니케이션']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['방사선', '계측', '측정', '시스템', '개발', '장비', 'MCU', 'F', 'W', '유지', '보수', '전기', '전자', '컴퓨터', '소프트웨어', '제어', '공학', '계열', '전공', '경력', '신입', '이내', 'C', '언어', '중급', '이상', 'micro', 'controller', '설계', '유', '경험자']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['주요', '업무', '운영', '라스트', '오더', '서비스', '백엔드 개발', '자격', '요건', '클라우드', '플랫폼', '기반', '개발', '이상', 'NodeJS', 'Python', 'Go', '언어', '사용', '경력']","{'언어': ['Python', 'Go'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['급', '병원', '방문', '환자', '원격', '진료', '어플리케이션', '개발', 'Flutter', '이용', 'Android', 'IOS', '효율', '구현', '아키텍쳐', '개선', '구조', '설계', '시너지', '에이아이', '주식회사', '기업', '부설', '연구소', '우수', '병역', '지정', '업체', '전문연구요원', '지원', '가능', '이상', '실력', '에코', '시스템', '이해', 'MVVM', 'Restful', 'API', '통신', '구성원', '협업', '커뮤니케이션', '능력']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['날', '비', 'Virtual', 'Human', '플랫폼', '개발', '참여', '용량', '트래픽', '고려', 'API 개발', 'Back', 'end', '경력', '이상', '하나', '서비스', '지속', '개선', '제품', '애정', '책임', '주도', '성장', '원']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['아래', '업무', '타겟', 'Embedded', 'device', '최적', '컴퓨터 비전', '분야', '딥 러닝', '모델', '학습', '구현', '최신', 'Computer', 'Vision', '폭', '이해', 'anchor', 'based', 'free', 'detection', 'model', 'OCR', 'Low', 'level', 'vision', 'task', 'super', 'resolution', 'deblurring', 'denoising', 'GAN', '특화', 'Deep Learning', '경량', '기술', 'Pruning', 'Quantization', 'Knowledge', 'Distillation', 'Neural', 'Architecture', 'Search', 'VAE', 'generative', '활용', '3D', 'aware', 'image', 'synthesis', '연구', 'DMM', 'SMPL', 'X', 'd', 'shape', 'optional', 'Nerf', '기반', '알고리즘', 'RGB', '영상', 'motion', 'capture', 'MEVA', 'ROMP', 'D', 'pose', 'estimation', 'keypoint', '이상', 'AI', '경험']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['자동차', 'SW', '개발', '용역', '초기', '컨설팅', 'C', '능통자', '임베디드', '경험자']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['디앤에스에버', '주', '세계', '고객', '사용', '플랫폼', '서비스', '전달', '목표', '성장', '설립', '초기', '웹', '기반', '도메인', '네임', '시스템', '구축', '네임서버', '관리', '제공', '현재', '블록체인', '기술', '가상', '자산', '거래소', '개발', '해외', '수출', '거래', '안정', '엔진', '보호', '다양', '수단', '적용', '최고', '수준', '보안', '설계', '성능', '우수', '입증', '핀테크', '접목', '글로벌', '디지털', '금융', '경험', '도전', '상호', '존중', '자율', '책임', '문화', '일', '아이디어', '적극', '제안', '고민', '협업', '구성원', '지속', '지원', '동료', '담당', '업무', 'AWS', '클라우드', '인프라', '운영', '배포', '로깅', '모니터링', '자동', 'CI', 'CD', '파이프라인', '컨테이너', '오케스트레이션', '신뢰', '지표', '설정', '가용', '확보', '장애', '대응', '서버', '네트워크', '트러블', '슈팅', '이상', 'devops', '경력', '보유', 'Linux', 'Docker', 'Kubernetes', 'Python', 'Shell', '스크립트', '가능', 'Terraform', 'Ansible', 'Infrastructure', 'as', 'Code', 'High', 'Availability', 'Fault', 'Tolerant', 'System', '이해도']","{'언어': ['Python'], '프레임워크': [], '라이브러리': [], '툴': ['Docker', 'Kubernetes']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['DBMS', '관리', '솔루션 개발', '유지', '보수', '모니터링', 'Java', '웹 개발', 'RestAPI', 'HTML', 'Spring', 'PostgreSQL', 'RDBMS', 'Linux', 'Git']","{'언어': ['Java'], '프레임워크': ['Spring'], '라이브러리': [], '툴': ['Git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사내', '시스템', 'Frontend', '유지', '보수', '물류', '고도', '개발', '지원', '홈페이지', '고객사', '공급', '웹', '솔루션', '학력', '초대', '졸', '이상', '경력', '내외', 'JSP', '사용', '경험', '필수']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['infoSeer', 'Trans', '구축', '기술', '지원', '제품', '성능', '고도', '이관', '기능', 'RDBMS', 'RD', 'Linux', 'DBMS', 'postgresql', 'java', '개발', 'oracle', '사용', '경험', '데이터', '프로세스', '버전', '관리', '시스템', 'git', 'svn']","{'언어': ['java'], '프레임워크': [], '라이브러리': [], '툴': ['git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['윤', '선생', '서비스', 'DB', '개발', '유지', '보수', '경력', '이상', '학력', '전공', '무관', 'PL', 'SQL', '가능자', '다양', 'RDB', '경험', '스키마', '분석', '설계', '가능', '자', '쿼리', '튜닝', '트러블', '슈팅', '유', '경험자']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['B', '플랫폼', 'Web', '서비스', '개발', '백', '앤드', '경력', '이상', '역량', '보유', 'Java', '경험']","{'언어': ['Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사이트', '개발', '학력', '초대', '졸', '이상', '자바스크립트', 'mysql', '사용', '가능', 'react.js', '웹', 'typescript', '기본', '이해', 'HTML', '퍼블리싱', 'CSS']","{'언어': ['typescript'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['기술', '연구소', 'DF', '팀', '데이터', '흐름', '분석', '제품', '개발', '환경', 'Java', '기반', '웹', '백', '엔드', '프레임', '워크', 'Spring', 'Spring Boot', 'SQL', '경력', '이상', '유관', '업무', '경험자']","{'언어': ['Java'], '프레임워크': ['Spring'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['네트워크', '장비', '통계', '모니터링', '페이지', '개발', 'Web', 'App', '지도', 'Map', 'API', '프로그래밍', '토폴로지', '트래픽', '경력', '이상']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['서버', '클라이언트 개발', 'DB', '관리', '구축', '배포', '신규', '프로젝트', '기능', '개발', 'Architecture', 'DataStructure', '설계', '기존', '유지', '보수', '개선', '경력', '관련', '언어', '경험', '이상', '보유', '프레임', '워크', '사용', '서비스', '운영']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Network', 'Controller', 'SDN', 'API 개발', '관리', '경력', '이상']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['네트워크', 'Controller', 'SDN', '개발', '지원', 'Java', 'Python', '사용', 'AI', '데이터', '수집', '처리', 'openflow', '이용', '모니터링', '대학', '이상']","{'언어': ['Python', 'Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Embedded Linux', '기반', 'WIFI', 'AP', '모듈', '테스트', '개발', 'SDN', 'Software', 'Defined', 'Network', '경력', '이상']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['네트워크', '정보', '수집', '관리', '모듈', '개발', '장비', '제어', 'API 개발', '서버', '경력', '이상']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['주요', '업무', '다음', '전문', 'AWS', '영업', '프리', '세일즈', '교육', '지원', '팀', '파트너', '고객', 'Amazon', 'Elastic', 'Compute', 'Cloud', 'EC2', 'Data', 'Pipeline', 'S', 'DynamoDB', 'NoSQL', 'Map', 'Reduce', 'EMR', 'Redshift', '관계', '데이터', '베이스', '서비스', 'RDS', '사용', '솔루션', '사이트', '기술', '프로젝트', '진행', '단계', '방문', '요구', '사항', '파악', '컨설팅', '제안서', '작성', '패키지', '오퍼', '링', '제안', '포함', '딜리버리', '신규', '분산', '컴퓨팅', '퍼블릭', '프라이', '빗', '클라우드', '포괄', '도입', '적용', '현장', '수행', '기존', '애플리케이션', '마이그레이션과', '활용', '개발', '인사이트', '피드백', '로드맵', '반영', '엔지니어링', '협업', '경험', '공유', '가치', '창출', '최적', '방법', '제공', '한계', '극복', '클라우드 컴퓨팅', '비즈니스', '전통', 'IT', '제약', '인텔리전스', '충족', '혁신', '대면', '역할', '필요', '컴퓨터', '사이언스', '공학', '수학', '관련', '분야', '학사', '학위', '유사', '수준', '이상', '플랫폼', '구축', '보유', '상급', '분석', '역량', 'Hadoop', 'Spark', '시스템', '구현', '성능', '튜닝', '실무', '데이터 분석', '엔터프라이즈', '환경', '제품', '과제', '전략', '사고', '능력', '리더십', '기업', '마케팅', '리스크', '니즈', '컬럼', '기반', '웨어', '하우스', '아키텍쳐', '최적화', '이해', 'Apache Spark', '에코', '도구', 'Sqoop', 'Flume', 'Kinesis', 'Kafka', 'Oozie', 'Hue', 'Zookeeper', 'Ranger', 'Elasticsearch', 'Avro', '최소', 'SQL', 'Hive', 'Pig', 'Impala', 'Presto', 'Postgre', '지식', '프로그래밍', '언어', 'Java', 'JavaScript', 'Python', '소프트웨어', '코드', '가능']","{'언어': ['JavaScript', 'Java', 'Python'], '프레임워크': [], '라이브러리': [], '툴': ['Elasticsearch']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Oracle', 'SQL', '서버', '플랫폼', '전문가', 'PostgreSQL', 'MySQL', 'MariaDB', 'Casandra', '오픈', '소스', '데이터베이스', '활용', '경험', '엔진', '애플리케이션', '마이그레이션', '경영진', '협업', 'IT', '인프라', '최적', '업무', '관심', '세계', '거대', '데이터', '해결', '기술', '개발', '영향', '클라우드 컴퓨팅', '웹', '서비스', '합리', '비용', '수행', '지원', '포지션', '고객', 'Server', 'Aurora', '마이', '그레이', '션', 'POC', '프로젝트', '각종', '워크샵', '구현', 'Professional', 'Services', 'Database', 'Specialty', 'Architect', '용량', 'OLTP', 'OLAP', '환경', '배치', '실시간', '처리', '페타', '규모', '웨어', '하우스', '설계', '배포', 'AWS', 'RDS', 'DynamoDB', 'Redshift', '도입', '레퍼런스', '구성', '구축', '집중', '주요', '접점', '대표', '경영', 'Cloud', '장단점', '표준', '방법', '위험', '감소', '논의', '주도', '엔지니어링', '아키텍처', '팀', '컨설팅', '성공', '협의', '요건', '기반', '솔루션', '제안', '기업', '비즈니스', '제품', '고민', '전략', '제시', '기타', '상용', 'DB', '온프레미스', 'RedShift', '다양', '분석', '분산', '프로덕션', '성능', '권장', '사항', '문제', '혁신', '솔루션 개발', '관련', '이상', '경력', '분야', '아키텍쳐', '수립', 'C', '레벨', '임원급', '파트너', '능력', '기종', '매개', '변수', 'Parameters', '리소스', '경합', '포함', '튜닝', '고가용성', '컴퓨터', '과학', '학사', '학위', '유사', '수준']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사내', '업무', '시스템', '개발', '운영', 'ERP', '연계', '기능', '커스터마이징', 'DBMS', '데이터', '관리', '가공', '그룹웨어', '유관', '경력', '이상', 'Java', '능력', '보유', 'Spring', '프레임', '워크', '활용', '가능', 'Oracle']","{'언어': ['Java'], '프레임워크': ['Spring'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사이트', 'LG전자', '업무', '명', 'SDP', '시스템', '운영', '개발', '스킬', 'JAVA', '서버', '경험', '쿼리', 'DB', '검증', '우대', '등급', '중급', '고급', '기간', '연', '단위', '계약', '장소', '마곡', '포스코', '플로우', 'SMART', '통합', '물류', '차세대', 'JSP', 'ORACLE', '정산', '경험자', '필수', '삼성역', '테헤란로', 'KCC', '금강', '고려', '화학', '그룹웨어', 'WEBSQUARE', 'OWA', 'OutlookWeb', 'Access', '계속', '9호선', '신논현역', '본사', '기타', '출근', '점심', '구내식당', '이용', 'oo', '공공', '기관', '주차', '관리', '관련', '프로젝트', '초급', '공덕역', '메리츠', '화재', '채널', '계', 'STT', 'Speak', 'to', 'Text', '강남역', '강남', '사옥']","{'언어': ['JAVA'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['게임', '서비스', '사업', '운영', '업무', '효율', 'Web', 'Admin', 'Tool', '개발', '다양', '외부', '활용', 'Front', '작업', '학력', '무관', '경력', '이상', '반응', '웹사이트', 'Cross', 'browsing', '유', '경험자', 'React.js', 'AngularJS', 'Vue.js', '프레임', '워크', '이용', 'Git', '형상', '기억', '관리', '툴', '사용']","{'언어': [], '프레임워크': ['Vue.js'], '라이브러리': [], '툴': ['Git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Dispenser', '적용', '컨트롤러', '개발', '임베디드 시스템', 'ST', '계열', 'MCU', '사용', 'LCD', '모터', '드라이버', '주변', '모듈', 'RS', 'TCP', 'IP', '통신', '회로 설계', '임베디드 소프트웨어', '스테핑', 'BLDC', 'DC', '제어', '학력', '대졸', '이상', '전공', '컴퓨터', '공학', '전자', '경력', '신입', '지원', '가능', '경력자', '우대', 'STM', '펌웨어', '회로', '해석']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['스트리밍', '서비스', 'API', '서버', '구축', '운영', '관리자', '페이지', '맛', '유명', '아이에이치큐', 'IHQ', '스타', '육성', '명가', 'sidusHQ', '채널', '쇼', '드라마', '샌드박스', '플러스', '다양', '보유', '국내', '최고', '종합', '엔터테인먼트', '기업', '개념', 'OTT', '플랫폼', '바바요', '런칭', '예능', '결합', '매운맛', '시사', '의료', '법률', '성', '어른', '콘텐츠', '커머스', '라이브', '방송', 'VOD', '앱', '지향', '인재', '채용', '근무', '조건', '형태', '정규직', '결정', '수습', '기간', '필요', '근무일', '주', '월', '금', '시간', '오전', '오후', '지역', '서울특별시', '강서구', '가양동', 'iHQ', '사옥', '전형', '절차', '서류', '면접', '최종', '합격', '합격자', '수시', '확인', '후', '진행', '조기', '자동', '마감', '이상', 'Node', '개발', '경험', 'express', 'nest', 'RDB', 'DocumentDB', '사용', 'AWS', '클라우드', '환경', 'Git', '협업', '원활', '커뮤니케이션', '스킬', '문제', '해결', '능력']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': ['Git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사이트', '굿', '업무', '명', '평가', '경영', '기획', '시스템', '운영', '스킬', 'ASP', 'NET', '웹', '폼', '등급', '중급', '고급', '기간', '장소', '본사', '서초구', '반포대로', 'ASP.NET', '경력자']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['프로젝트', '리드', '서비스', '지속', '성능', '개선', '업무', '진행', '메타버스', '플랫폼', '도메인', 'API 개발', 'DB', '설계', '운영', 'VR', '앱', '모바일', '관련', '시스템', '모니터링', '추적', '팀장급', '경력', '이상', '실력', '한자', 'NestJS', 'TypeORM', '서버', '개발', '서', '버스', '배포', '경험', '코드', '리뷰', '기술', '세션', '적극', '분', '최적', '고민', '노력', '웹', '소켓', '빌드', '테스트', '자동']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['API', '설계', '개발', '명세서', '관리', 'ERD', 'Web', '업무', '경력', '경험', 'PHP', 'Python', 'GO', 'Java', '언어', '이상', '중급', '수준', '분', 'Node.js', '기반']","{'언어': ['Python', 'Java', 'GO'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['iHQ', '오리지널', '콘텐츠', '스트리밍', '앱', '개발', '이상', 'React', 'Native', '경험', 'RESTful', 'API', '연동', 'Git', '사용', '협업']","{'언어': [], '프레임워크': ['React'], '라이브러리': [], '툴': ['Git']}"
