seq,category,name,ner_label
387,tool,스위치,B-TOOL
388,tool,라우터,B-TOOL
389,tool,erp,B-TOOL
390,tool,회로,B-TOOL
391,tool,vlan,B-TOOL
392,tool,네트워크 설치,B-TOOL
393,tool,카메라,B-TOOL
394,tool,ids,B-TOOL
395,tool,smtp,B-TOOL
396,tool,nas,B-TOOL
397,tool,erp 소프트웨어,B-TOOL
398,tool,erp 구현,B-TOOL
399,tool,dhcp,B-TOOL
400,tool,nat,B-TOOL
401,tool,dns,B-TOOL
402,tool,powershell,B-TOOL
403,tool,회로 테스트,B-TOOL
404,tool,lte,B-TOOL
405,tool,teamcity,B-TOOL
406,tool,san,B-TOOL
407,tool,cissp,B-TOOL
408,tool,광학,B-TOOL
409,tool,hp,B-TOOL
410,tool,fusion360,B-TOOL
411,tool,ccnp,B-TOOL
412,tool,pyxis,B-TOOL
413,tool,xcode,B-TOOL
414,tool,google analytics,B-TOOL
415,tool,blockchain,B-TOOL
416,tool,cisco vpn,B-TOOL
417,tool,cisco wireless,B-TOOL
418,tool,cisco,B-TOOL
419,tool,dns 관리,B-TOOL
420,tool,sox (404),B-TOOL
421,tool,access 데이터베이스,B-TOOL
422,tool,ccie,B-TOOL
423,tool,wsus,B-TOOL
424,tool,vdi,B-TOOL
425,tool,ssl,B-TOOL
426,tool,voip,B-TOOL
427,tool,uart,B-TOOL
428,tool,sip,B-TOOL
429,tool,cti,B-TOOL
430,tool,gps,B-TOOL
431,tool,4g,B-TOOL
432,tool,adc,B-TOOL
433,tool,3d 시각화,B-TOOL
434,tool,oss,B-TOOL
435,tool,dacs,B-TOOL
436,tool,클라우드 컴퓨팅,B-TOOL
437,tool,fcc,B-TOOL
438,tool,하드웨어 테스트,B-TOOL
439,tool,xilinx ise,B-TOOL
440,tool,gis,B-TOOL
441,tool,oracle database,B-TOOL
442,tool,scm,B-TOOL
443,tool,eeo,B-TOOL
444,tool,하드웨어 지원,B-TOOL
445,tool,android studio,B-TOOL
446,tool,nx unigraphics,B-TOOL
447,tool,smt,B-TOOL
448,tool,품질 관리,B-TOOL
449,tool,storage,B-TOOL
450,tool,제품 인증,B-TOOL
451,tool,salesforce.com,B-TOOL
452,tool,하드웨어 개발,B-TOOL
453,tool,iaas,B-TOOL
454,tool,계정 관리,B-TOOL
455,tool,하드웨어,B-TOOL
456,tool,solidworks simulation,B-TOOL
457,tool,설계,B-TOOL
458,tool,sap 구현,B-TOOL
459,tool,sap sd,B-TOOL
460,tool,sap mm,B-TOOL
461,tool,spotfire,B-TOOL
462,tool,sap fi,B-TOOL
463,tool,sap hr,B-TOOL
464,tool,rfid,B-TOOL
465,tool,pads,B-TOOL
466,tool,sap erp,B-TOOL
468,tool,dlp,B-TOOL
469,tool,qad,B-TOOL
470,tool,mssql(microsoft sql server),B-TOOL
471,tool,ios,B-TOOL
472,tool,nosql,B-TOOL
473,tool,linux kernel,B-TOOL
474,tool,tcp/ip,B-TOOL
475,tool,amazon web services(aws),B-TOOL
476,tool,sap,B-TOOL
477,tool,aws s3,B-TOOL
478,tool,aws cloud9,B-TOOL
479,tool,slack api,B-TOOL
480,tool,aws elastic beanstalk,B-TOOL
481,tool,apache kafka,B-TOOL
482,tool,unix,B-TOOL
483,tool,google cloud platform,B-TOOL
484,tool,windows,B-TOOL
485,tool,eslint,B-TOOL
486,tool,webpack,B-TOOL
487,tool,azure,B-TOOL
488,tool,aws ec2,B-TOOL
489,tool,github actions,B-TOOL
490,tool,aws simple queue service(aws sqs),B-TOOL
491,tool,apache maven,B-TOOL
492,tool,gradle,B-TOOL
493,tool,sql,B-TOOL
494,tool,aurora db,B-TOOL
495,tool,datadog,B-TOOL
496,tool,data analysis,B-TOOL
497,tool,aws cloudfront,B-TOOL
498,tool,aws elasticbeanstalk,B-TOOL
499,tool,yarn,B-TOOL
500,tool,database,B-TOOL
501,tool,microsoft azure,B-TOOL
502,tool,aws emr,B-TOOL
503,tool,aws ecs,B-TOOL
504,tool,plc,B-TOOL
505,tool,aws eks,B-TOOL
506,tool,raspberry pi,B-TOOL
507,tool,spdk,B-TOOL
508,tool,hls(http live streaming),B-TOOL
509,tool,gcp(google cloud platform),B-TOOL
510,tool,ci/cd,B-TOOL
511,tool,mariadb,B-TOOL
512,tool,cocoapods,B-TOOL
513,tool,mapbox,B-TOOL
514,tool,azure kubernetes service (aks),B-TOOL
515,tool,google cloud functions,B-TOOL
516,tool,google gke on-prem,B-TOOL
517,tool,azure microsoft portal,B-TOOL
518,tool,ubuntu,B-TOOL
519,tool,ml kit,B-TOOL
520,tool,big data,B-TOOL
521,tool,linux,B-TOOL
522,tool,aws rds,B-TOOL
523,tool,aws lambda,B-TOOL
527,tool,oracle,B-TOOL
562,tool,jest,B-TOOL
566,tool,circleci,B-TOOL
575,tool,gcp,B-TOOL
576,tool,paas,B-TOOL
577,tool,azure emotion,B-TOOL
578,tool,3ds max,B-TOOL
579,tool,vm웨어,B-TOOL
580,tool,ansys fluent,B-TOOL
581,tool,cuda,B-TOOL
582,tool,microchip pic,B-TOOL
583,tool,디지털 회로 설계,B-TOOL
584,tool,데이터 보안,B-TOOL
585,tool,데이터 통합,B-TOOL
586,tool,데이터베이스,B-TOOL
587,tool,vmware view,B-TOOL
588,tool,vmware infrastructure,B-TOOL
589,tool,vmware server,B-TOOL
590,tool,ldap,B-TOOL
591,tool,rfp,B-TOOL
592,tool,네트워크 통신,B-TOOL
593,tool,pcb 레이아웃 설계,B-TOOL
594,tool,장비,B-TOOL
595,tool,취약점 스캐닝,B-TOOL
596,tool,api,B-TOOL
597,tool,etl,B-TOOL
598,tool,pmp,B-TOOL
599,tool,typeform,B-TOOL
600,tool,fpga 프로토 타이핑,B-TOOL
601,tool,fpga,B-TOOL
602,tool,인프라,B-TOOL
603,tool,windows 서비스,B-TOOL
604,tool,전략 개발,B-TOOL
605,tool,클라우드 보안,B-TOOL
606,tool,특허,B-TOOL
607,tool,visual studio,B-TOOL
608,tool,데이터 과학,B-TOOL
609,tool,excel,B-TOOL
610,tool,eclipse,B-TOOL
611,tool,svn,B-TOOL
612,tool,udp,B-TOOL
613,tool,sdlc,B-TOOL
614,tool,emr,B-TOOL
615,tool,테스트 및 평가,B-TOOL
616,tool,cms,B-TOOL
617,tool,xilinx,B-TOOL
618,tool,stp,B-TOOL
619,tool,펌웨어,B-TOOL
620,tool,소프트웨어 산업,B-TOOL
621,tool,gpu,B-TOOL
622,tool,soc,B-TOOL
623,tool,운영체제,B-TOOL
624,tool,office 365,B-TOOL
625,tool,altium designer,B-TOOL
626,tool,autocad,B-TOOL
627,tool,ip,B-TOOL
628,tool,tcp,B-TOOL
629,tool,네트워크 설계,B-TOOL
630,tool,saas,B-TOOL
631,tool,arduino,B-TOOL
632,tool,amazon web service,B-TOOL
633,tool,mantis bug tracker,B-TOOL
634,tool,mqtt,B-TOOL
635,tool,aws certificate manager,B-TOOL
636,tool,aws route 53,B-TOOL
637,tool,red hat ceph storage,B-TOOL
638,tool,apache hadoop,B-TOOL
639,tool,aws sagemaker,B-TOOL
640,tool,jupyter,B-TOOL
641,tool,aws api gateway,B-TOOL
642,tool,devexpress,B-TOOL
643,tool,azure network watcher,B-TOOL
644,tool,aws cloudformation,B-TOOL
645,tool,azure cache for redis,B-TOOL
646,tool,iot,B-TOOL
647,tool,sqlite,B-TOOL
648,tool,shell,B-TOOL
649,tool,composer,B-TOOL
650,tool,dba(database administration),B-TOOL
651,tool,aws cloudwatch,B-TOOL
652,tool,aws codecommit,B-TOOL
653,tool,ncp(naver cloud platform),B-TOOL
654,tool,nvidia tensorrt,B-TOOL
655,tool,firebase,B-TOOL
656,tool,uml,B-TOOL
657,tool,windows server,B-TOOL
658,tool,msql,B-TOOL
659,tool,aws alexa,B-TOOL
660,tool,altium,B-TOOL
661,tool,ansys,B-TOOL
662,tool,gcc,B-TOOL
663,tool,cae,B-TOOL
664,tool,cad,B-TOOL
665,tool,qa 엔지니어링,B-TOOL
666,tool,ms 오피스,B-TOOL
667,tool,ssis,B-TOOL
668,tool,it 관리,B-TOOL
669,tool,it 운영,B-TOOL
670,tool,개발,B-TOOL
671,tool,data mining,B-TOOL
672,tool,windows 서버,B-TOOL
673,tool,소프트웨어 개발,B-TOOL
674,tool,리눅스 서버,B-TOOL
675,tool,rdbms,B-TOOL
676,tool,http,B-TOOL
677,tool,ec2,B-TOOL
678,tool,visual studio code,B-TOOL
679,tool,heroku,B-TOOL
680,tool,intellij idea,B-TOOL
681,tool,통계 자료 분석,B-TOOL
682,tool,데이터 분석,B-TOOL
683,tool,google container registry,B-TOOL
684,tool,figma,B-TOOL
685,tool,google tag manager,B-TOOL
